cpc3,isic_rev3_4,probability_weight
"A01","0140",.0722254
"A01","0150",.0372528
"A01","0500",.0074606
"A01","1513",.1393638
"A01","1531",.0956352
"A01","2421",.210091
"A01","2921",.4379712
"A21","1531",.6172763
"A21","1541",.3827237
"A22","1511",1
"A23","0112",.0080534
"A23","0113",.0430095
"A23","1511",.0887288
"A23","1513",.0892083
"A23","1514",.0227897
"A23","1520",.3198151
"A23","1531",.1169358
"A23","1532",.0410943
"A23","1533",.0054542
"A23","1542",.0636559
"A23","1543",.201114
"A23","5122",.0000564
"A23","5220",.0000845
"A24","1600",.8132491
"A24","2101",.0646796
"A24","2925",.1220713
"A41","1730",.543372
"A41","1810",.4525685
"A41","1820",.0040595
"A42","1730",.2045709
"A42","1810",.3944203
"A42","9241",.4010088
"A43","1920",1
"A44","1730",.19969
"A44","1912",.1067008
"A44","2429",.0254242
"A44","2520",.0640434
"A44","2696",.5527363
"A44","2891",.0271729
"A44","2899",.0242323
"A45","1730",.0473575
"A45","1912",.6405646
"A45","2520",.0471181
"A45","2930",.0482396
"A45","8022",.0136292
"A45","8090",.0136292
"A45","9302",.1894617
"A46","1513",.1619496
"A46","2422",.402762
"A46","2424",.3492772
"A46","2430",.0304751
"A46","2520",.0298691
"A46","9302",.025667
"A47","2930",.1346481
"A47","3610",.8326837
"A47","3699",.0314551
"A47","5142",.0000455
"A47","5143",.0000228
"A47","5211",.0011068
"A47","8010",.0000379
"A61","2413",.0466674
"A61","2423",.5248119
"A61","3311",.3748249
"A61","8512",.0510405
"A61","9309",.0026553
"A62","1912",.695287
"A62","2411",.1147357
"A62","2919",.1169568
"A62","3530",.0605337
"A62","8532",.0124868
"A63","3693",.3228511
"A63","3694",.4025662
"A63","8531",.0000161
"A63","9241",.2745666
"B01","1541",.0283507
"B01","2320",.0328363
"B01","2411",.2485716
"B01","2412",.0778378
"B01","2413",.0897157
"B01","2891",.0245096
"B01","2919",.0236612
"B01","4100",.4381174
"B01","9000",.0363998
"B02","1511",.0459432
"B02","1531",.2773432
"B02","2893",.1209543
"B02","2915",.0466216
"B02","2922",.0245638
"B02","2925",.4105595
"B02","2930",.0616194
"B02","3710",.012395
"B03","1010",.2947861
"B03","1310",.0058179
"B03","1429",.0617811
"B03","2411",.0413783
"B03","2412",.0291936
"B03","2915",.0816755
"B03","4100",.4021169
"B03","9000",.0832505
"B04","2919",1
"B05","2422",.7968995
"B05","2429",.0345973
"B05","2911",.0603585
"B05","4100",.1081447
"B06","0200",.0996422
"B06","2413",.032305
"B06","2429",.026367
"B06","2693",.5864737
"B06","2695",.0799791
"B06","2720",.050202
"B06","2911",.0741991
"B06","2913",.0230632
"B06","2923",.0277688
"B07","1030",.0239488
"B07","1513",.046974
"B07","2010",.0315965
"B07","2915",.7741926
"B07","2925",.1097017
"B07","3720",.0135864
"B08","2411",.0275088
"B08","2915",.0270425
"B08","3699",.0987776
"B08","4100",.8137938
"B08","9000",.0328772
"B09","1020",.0102529
"B09","1410",.0309589
"B09","1422",.0031236
"B09","2411",.1100487
"B09","2694",.0300384
"B09","2695",.0233296
"B09","2914",.0254401
"B09","2915",.0238214
"B09","4100",.1605935
"B09","4510",.2758349
"B09","4550",.0865301
"B09","9000",.2200278
"B21","2710",.3967727
"B21","2731",.031602
"B21","2812",.0283791
"B21","2891",.3083779
"B21","2892",.0224217
"B21","2899",.0795448
"B21","2911",.0295091
"B21","2913",.0398047
"B21","2922",.0635881
"B22","2692",.0376058
"B22","2693",.0375838
"B22","2710",.1698817
"B22","2720",.0878323
"B22","2731",.1268281
"B22","2732",.0680219
"B22","2891",.1000553
"B22","2914",.0238443
"B22","2923",.3483468
"B23","2710",.0776701
"B23","2720",.0339427
"B23","2892",.154486
"B23","2893",.0709355
"B23","2913",.0213645
"B23","2922",.4407754
"B23","2926",.1752494
"B23","3691",.0255766
"B24","2411",.083492
