isic_rev3_3,cpc2,probability_weight
"011","A0",.076477
"011","A2",.7913487
"011","C1",.0225226
"011","Y0",.1096517
"012","A0",.5419843
"012","A6",.1755927
"012","C1",.2358494
"012","Y0",.0465735
"013","A0",1
"014","A0",.9762739
"014","Y0",.0237261
"015","A0",1
"020","G0",1
"050","A0",.8090347
"050","A2",.0706411
"050","Y0",.1203242
"101","B0",.1140509
"101","C1",.6135042
"101","E2",.0238437
"101","Y0",.2486012
"102","B0",.0397971
"102","C0",.46327
"102","C1",.496933
"103","B0",.3689048
"103","C0",.0719769
"103","C1",.422993
"103","Y0",.1361254
"111","B0",.0928136
"111","C1",.7918143
"111","E2",.0924669
"111","F2",.0229053
"112","E2",1
"120","C2",.5263305
"120","E2",.4501019
"120","G2",.0235677
"131","C2",.537117
"131","Y0",.4628829
"132","C2",.7315128
"132","Y0",.2684872
"141","B0",.1023773
"141","C0",.1935218
"141","C1",.1030231
"141","E2",.6010779
"142","B0",.1013106
"142","C0",.1836808
"142","C1",.516335
"142","E2",.1986735
"151","A0",.2829538
"151","A2",.7170461
"152","A0",.0588936
"152","A2",.9411064
"153","A0",.1644344
"153","A2",.7595152
"153","C1",.0760503
"154","A2",.8695998
"154","C1",.1304002
"155","A2",.0592963
"155","A4",.0310099
"155","B0",.0456212
"155","B6",.2425106
"155","C0",.0313409
"155","C1",.5198284
"155","F2",.0355906
"155","Y1",.0348019
"160","A2",1
"171","D0",.9796541
"171","D1",.0203459
"172","A4",.2377151
"172","B4",.3335452
"172","D0",.3320799
"172","Y1",.0966598
"173","A4",.0728665
"173","D0",.7477785
"173","D1",.1278626
"173","Y1",.0514923
"181","A4",.7641794
"181","D0",.1688709
"181","D1",.0359552
"181","Y1",.0309945
"182","A4",1
"191","A0",.0278638
"191","A4",.3506835
"191","A6",.0813377
"191","B6",.4836158
"191","Y1",.0564992
"192","A4",.9592308
"192","F1",.0407692
"201","B2",.5092313
"201","D2",.3949282
"201","Y1",.0958406
"202","A4",.0506179
"202","B2",.166026
"202","B3",.0355674
"202","E0",.6869923
"202","Y1",.0607964
"210","B4",.3105155
"210","B6",.0467449
"210","D2",.6427396
"221","G0",.6627115
"221","H0",.3372885
"222","B4",.977221
"222","G0",.022779
"223","G1",.4286025
"223","H0",.5713975
"231","B0",.0233568
"231","C1",.9766432
"232","B0",.0886704
"232","C0",.0835951
"232","C1",.6946285
"232","F0",.0792194
"232","Y0",.0538866
"233","B0",.0416261
"233","C0",.0496258
"233","Y0",.9087481
"241","A6",.0538917
"241","B0",.067731
"241","C0",.7923323
"241","C1",.0596175
"241","C4",.0005714
"241","Y0",.0258562
"242","A6",.5659721
"242","C0",.2906897
"242","C1",.1103438
"242","F4",.0329944
"243","D0",1
"251","B2",.1319843
"251","B4",.023319
"251","B6",.520617
"251","C0",.0264758
"251","F1",.1532034
"251","Y0",.0428711
"251","Y1",.1015293
"252","A4",.0879345
"252","A6",.0343274
"252","B2",.2852655
"252","B3",.0569654
"252","B6",.3158442
"252","F1",.0737245
"252","Y0",.0344198
"252","Y1",.1115186
"261","B3",.0372752
"261","C0",.4916526
"261","E0",.0710374
"261","F2",.0220838
"261","G0",.0812002
"261","H0",.1388391
"261","Y0",.0782624
"261","Y1",.0796494
"269","B2",.0437552
"269","C0",.1218223
"269","E0",.616989
"269","E2",.0263928
"269","F2",.0257743
"269","H0",.063383
"269","Y0",.0548601
"269","Y1",.0470232
"271","B2",.0748737
"271","C2",.7850121
"271","E0",.0347658
"271","Y0",.0778536
"271","Y1",.0274948
"272","B2",.0541316
"272","C2",.7789013
"272","Y0",.0822442
"272","Y1",.084723
"273","B2",.261278
"273","C2",.692872
"273","G2",.0240379
"273","Y0",.021812
"281","A4",.0251612
"281","B2",.0276517
"281","D0",.0384194
"281","E0",.0774569
"281","F0",.025155
"281","F2",.4029004
"281","H0",.1178819
"281","Y0",.2853735
"289","B0",.0296469
"289","B2",.4031228
"289","B6",.0348347
"289","C2",.1751656
"289","E0",.02439
"289","H0",.2049681
"289","Y1",.127872
"291","B2",.03321
"291","B6",.1461231
"291","F0",.4208107
"291","F1",.2636483
"291","F2",.0413236
"291","Y0",.0564291
"291","Y1",.0384552
"292","A0",.2047774
"292","B2",.1727732
"292","B4",.0316028
"292","B6",.0552412
"292","D0",.0648901
"292","F4",.4225941
"292","Y1",.0481212
"293","A4",.3708916
"293","D0",.1103876
"293","F2",.3986734
"293","Y0",.1200473
"300","G0",.7622306
"300","G1",.1168398
"300","H0",.1209296
"311","B6",.0396983
"311","F0",.0282681
"311","H0",.8754671
"311","Y0",.0565665
"312","H0",1
"313","E2",.0239656
"313","G0",.7099968
"313","H0",.2311838
"313","Y1",.0348538
"314","B6",.0254912
"314","G0",.0272827
"314","H0",.4660242
"314","Y0",.4812019
"315","F2",.9373596
"315","H0",.0275417
"315","Y0",.0350987
"319","F0",.8999001
"319","H0",.1000998
"321","G0",.094534
"321","G1",.0499904
"321","H0",.8554756
"322","G0",.1376356
"322","H0",.8623644
"323","G0",.0364326
"323","H0",.9635674
"331","A6",.3728021
"331","G0",.418398
"331","H0",.1713113
"331","Y0",.0374886
"332","A6",.0344043
"332","B8",.0120662
"332","F2",.0258652
"332","G0",.526813
"332","G1",.0828644
"332","H0",.3179869
"333","G0",.253547
"333","G1",.3190016
"333","H0",.4274513
"341","B6",.8846483
"341","F0",.0277835
"341","F1",.0586519
"341","Y1",.0289163
"342","B6",1
"343","B6",.7746211
"343","E0",.0358047
"343","F1",.1559918
"343","Y1",.0335824
"351","B6",1
"352","B6",.7273666
"352","E0",.2488553
"352","Y0",.0237781
"353","B6",.8449275
"353","F0",.0300476
"353","G0",.1250249
"359","B6",.9630302
"359","Y1",.0369698
"361","A4",1
"369","A4",.0390939
"369","A6",.8800344
"369","C3",.0268988
"369","Y1",.0539729
"371","A6",.0418448
"371","B0",.6143718
"371","C0",.1683869
"371","C1",.0915819
"371","D2",.0838144
"372","A6",.050156
"372","B0",.5644454
"372","B6",.0324921
"372","C0",.1648654
"372","C1",.0456078
"372","F2",.0842867
"372","Y1",.0581466
"401","H0",.0795296
"401","Y0",.9204704
"402","C1",.0713355
"402","E2",.0746364
"402","F0",.1143378
