STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,TECH,Technology domain,UNIT_MEASURE,Unit of measure,SIZE,Family size,SEX,Sex,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_SEC,Climate change mitigation technologies for sector-wide applications,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2010,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_EN_CE,"Application of hydrogen technology to transportation, e.g. using fuel cells",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2010,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_MA,Maritime or waterways transport,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2010,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_REC_PA,Paper recycling,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2010,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_EN,Enabling technologies in transport,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2010,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_WASTE_FILL,Landfill technologies aiming to mitigate methane emissions,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2010,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_ORG,Bio-organic fraction processing; Production of fertilisers from the organic fraction of waste or refuse,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2010,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_REC_PACK,"Packaging reuse or recycling, e.g. of multilayer packaging",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2010,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_RE_GEO,Geothermal energy,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2010,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_NUC_FI,Nuclear fission reactors,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2011,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_MIN_LIME,Production or processing of lime,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2011,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GHG_CH4,Capture or disposal of methane (CH4),PATN,Patents,ONE,One and greater (all inventions),_T,Total,2011,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_EN,Enabling technologies in transport,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2011,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_REC_PA,Paper recycling,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2011,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_TE_SG,Smart grids as climate change mitigation technology in the energy generation sector,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2011,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_EN_CE,"Application of hydrogen technology to transportation, e.g. using fuel cells",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2011,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_NUC_FU,Nuclear fusion reactors,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2011,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_MIN_CEM,Production of cement,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2012,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,BUILD_ENE_APP,Energy efficiency in home appliances,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2012,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_RO_EF,Fuel efficiency-improving vehicle design (common to all road vehicles),PATN,Patents,ONE,One and greater (all inventions),_T,Total,2012,,1,,A,Normal value,0,Units,2,Two
