Year,Country,CountryCode,Variable,VariableCode,UnconsolidatedVariableCode,UnconsolidatedVariableName,ActivityCode,Activity,ActivityCombination,Value,UnitType,ValueUSD,Metadata
2012,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,4043.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,4076.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,3751.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,3713.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,3377.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,3510.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,3118.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,2650.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,2558.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,2543.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,2438.0,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,2470.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,5461.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,6279.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,7057.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,7546.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,7455.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,7461.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,7993.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,8162.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,7037.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,6198.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,6509.0,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,6569.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,10,Food products,10,5405.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,10,Food products,10,6105.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,10,Food products,10,6459.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,10,Food products,10,7033.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,10,Food products,10,7197.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,10,Food products,10,9244.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,10,Food products,10,12265.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,10,Food products,10,13228.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,10,Food products,10,14293.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,10,Food products,10,14961.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,10,Food products,10,15053.0,N,NA,
