Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.65416719999999,-1.5926582,-1.635471,-1.5860489,-1.5607981,-1.5195275,-1.56501159999999,-1.54351939999999,-1.5398439,-1.5013636,-1.40089,-1.22202489999999,-1.1719937
Afghanistan,AFG,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-1.5857412,-1.6043337,-1.4997935,-1.50099379999999,-1.52460319999999,-1.4711716,-1.41773019999999,-1.4421872,-1.6312498,-1.65408049999999,-1.7167282,-1.7059035,-1.9646115
Afghanistan,AFG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-2.53097419999999,-2.5512555,-2.5040196,-2.699732,-2.3186705,-2.48125299999999,-2.4834928,-2.61393089999999,-2.5824048,-2.5893714,-2.5896897,-2.4506389,-2.4492487
Afghanistan,AFG,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.8493765,-1.92548149999999,-1.8835503,-1.70220409999999,-1.63760859999999,-1.6427748,-1.580107,-1.59509909999999,-1.66687379999999,-1.65715489999999,-1.65566449999999,-1.7202682,-1.8586889
Afghanistan,AFG,Voice and Accountability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_VA.EST,-1.3979576,-1.2883533,-1.2510408,-1.2481171,-1.2039387,-1.20990209999999,-1.2164992,-1.2397194,-1.1858104,-1.1404758,-1.081484,-1.42797209999999,-1.8416443
Afghanistan,AFG,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.4285697,-1.4373007,-1.2540947,-1.282454,-1.1832846,-1.06718849999999,-1.36089939999999,-1.4164481,-1.3029823,-1.2762178,-1.3026506,-1.40994469999999,-1.4229756
Albania,ALB,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.503922299999999,-0.6894267,-0.8226266,-0.815531999999999,-0.6758626,-0.5865235,-0.5061985,-0.5663593,-0.587108899999999,-0.5384935,-0.6594306,-0.60203,-0.500456
Albania,ALB,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.2964483,-0.249067699999999,-0.3393566,-0.356418399999999,0.0801175,0.1835585,0.1974461,0.256049,0.2684643,0.0266494,0.0187103,0.1116368,0.1929668
Albania,ALB,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.1725061,-0.348045,-0.3697641,-0.1931708,0.2608816,0.1252711,0.1659701,0.1638298,0.1502032,0.00437499999999999,-0.0049854,0.0239536,0.0115425
Albania,ALB,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.3178041,-0.299265399999999,-0.402225799999999,-0.4812225,-0.276422499999999,-0.2267931,-0.2061558,-0.2057486,-0.1743527,-0.291428099999999,-0.256738199999999,-0.2015586,-0.1309656
Albania,ALB,Voice and Accountability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_VA.EST,0.1270914,-0.0048785,-0.0572675,-0.0615944,0.0984136999999999,0.0763576,0.0737892,0.1067553,0.1354782,0.0967645999999999,0.0554688,-0.000404299999999999,0.024176
Albania,ALB,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.1073455,0.053824,-0.0835796999999999,-0.0639441999999999,0.056535,0.0444083,0.0642829999999999,0.1105237,0.1139598,0.0917374,-0.0195592999999999,-0.0049463,0.0155769
Algeria,DZA,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.3918564,-0.4094732,-0.453743099999999,-0.4058013,-0.6220502,-0.6299526,-0.6412808,-0.5404682,-0.538513599999999,-0.620545999999999,-0.635634599999999,-0.6509952,-0.6430769
Algeria,DZA,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.6027467,-0.722398099999999,-0.659519699999999,-0.5509556,-0.3152327,-0.3555636,-0.4244363,-0.5231578,-0.2892145,-0.315897,-0.2693237,-0.4641151,-0.2671351
Algeria,DZA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.31766989999999,-1.43622689999999,-1.2861441,-1.3382043,-1.1769102,-1.049624,-1.12458449999999,-0.929504599999999,-0.6370211,-1.06252749999999,-0.883733299999999,-0.9009933,-0.8074555
Algeria,DZA,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.7700849,-0.833268,-0.820280599999999,-0.7149392,-0.836116699999999,-0.8774318,-0.860594099999999,-0.8676221,-0.853582899999999,-0.845730299999999,-0.7746944,-0.7553319,-0.798385
Algeria,DZA,Voice and Accountability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_VA.EST,-0.8855445,-0.888241699999999,-0.838695,-0.8264644,-0.7248832,-0.725713899999999,-0.776438,-0.789930999999999,-0.8950813,-1.0557838,-1.067081,-1.0429601,-1.073884
Algeria,DZA,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.9696248,-1.13479399999999,-1.088001,-0.799061399999999,-1.0284052,-0.910741399999999,-0.9245888,-0.945913999999999,-1.0402376,-1.1291834,-1.08103289999999,-0.9720042,-0.8782506
American Samoa,ASM,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.3958154,0.3934592,0.3885632,0.3889352,1.1646295,1.1685187,1.1716528,1.7934572,1.7972711,1.8025255,1.1797991,1.1772281,1.1763452
American Samoa,ASM,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.2368725,0.2355177,0.2358589,0.23624,0.767958,0.7651163,0.7661041,0.7664249,0.7681859,0.7699023,0.7650002,0.7679093,0.7674713
American Samoa,ASM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.9942908,0.9847551,0.9837485,0.9806728,1.2631079,1.2607488,1.2548748,1.2555945,1.2606571,1.2471192,1.2465402,1.2442687,1.2481785
American Samoa,ASM,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,1.0340099,1.0485488,1.0430097,1.0306287,1.3203479,1.3258622,1.3267711,1.3245468,1.32674,1.3724833,1.2020006,1.1954792,1.1914695
American Samoa,ASM,Voice and Accountability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_VA.EST,1.056728,1.0619652,1.0575993,1.0511693,1.0580907,1.0598446,1.0576599,1.0557605,..,1.3288373,0.9550312,0.941677,0.937291
American Samoa,ASM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.5759582,0.5770316,0.5653036,0.5635653,0.1453016,0.1563708,0.1589592,-0.0750966,-0.0739706,-0.0709177,0.3974735,0.3953827,0.3898105
