country_dropped,beta1
AUS,-0.10097648351422242
AUT,-0.09564071279676824
BEL,-0.10139262104760036
CAN,-0.11017426134261853
CHE,-0.0964956736970743
CZE,-0.09269434715371673
DEU,-0.10071299398840879
DNK,-0.09810252440091796
ESP,-0.09248601258564886
FIN,-0.09274223294873521
FRA,-0.0989643375106267
GBR,-0.09011532473882951
GRC,-0.08889158298279207
HUN,-0.10091210394607604
IRL,-0.06940760709153845
ITA,-0.09225117442668368
JPN,-0.09461010786374002
KOR,-0.09684412279613122
NLD,-0.1018969619776528
NOR,-0.09381013098571392
POL,-0.0929677876409284
PRT,-0.09706949823381529
SVK,-0.10359146148200707
SWE,-0.10649777762272321
USA,-0.10387438015515042
