country,ASEAN,mean_pair_FE,n_pairs
EGY,0,4.3677,2
THA,1,3.016,2
SAU,0,2.7401,2
CYP,0,2.7006,2
KAZ,0,2.6666,2
ARE,0,2.5954,1
MLT,0,2.5187,2
IND,0,2.4726,2
MNG,0,2.2076,2
BIH,0,2.0327,2
RUS,0,1.8823,2
BGR,0,1.8344,2
MDA,0,1.8291,2
MKD,0,1.7777,2
TUR,0,1.7294,2
ROU,0,1.7126,2
MYS,1,1.6232,2
BLR,0,1.5534,2
GEO,0,1.5427,2
UZB,0,1.5092,2
URY,0,1.4472,2
LKA,0,1.3099,2
PHL,1,1.1434,2
UKR,0,1.1099,2
CHL,0,0.9352,1
PER,0,0.8406,2
ECU,0,0.6623,2
COL,0,0.6135,2
KEN,0,0.534,2
ARM,0,0.4094,2
BRA,0,0.3467,1
TUN,0,0.2018,1
MEX,0,0.0582,1
IRN,0,0.017,1
IDN,1,-0.0899,1
CRI,0,-0.1448,1
