country_dropped,beta1
AUS,0.018821363037341943
AUT,0.017592833087103542
BEL,0.017992680782737372
CAN,0.019034886550684096
CHE,0.018693772987453464
CZE,0.016330328324530862
DEU,0.01804071705327519
DNK,0.02017433826954005
ESP,0.017853879431036564
FIN,0.018456017616464617
FRA,0.019391450335822555
GBR,0.017336201774940045
GRC,0.021314028921213764
HUN,0.01647065354005943
IRL,0.01980684458609727
ITA,0.01848269651345243
JPN,0.019014976885584504
KOR,0.018175273730796287
NLD,0.018667011690395287
NOR,0.017595293002778897
POL,0.017864089106237588
PRT,0.01778670538277628
SVK,0.03257537186092762
SWE,0.01820663371164863
USA,0.017954685192610762
