country,ASEAN,mean_pair_FE,n_pairs
PER,0,4.7786,2
PHL,1,4.5981,2
IRN,0,4.4597,1
MYS,1,4.4558,2
OMN,0,4.3354,1
IDN,1,4.2545,1
ECU,0,4.2251,2
VNM,1,4.1676,2
COL,0,4.1099,1
IND,0,4.0634,1
QAT,0,3.9921,2
CRI,0,3.8886,1
CHL,0,3.7867,1
SAU,0,3.7511,2
UKR,0,3.6754,2
TUR,0,3.6465,2
BRA,0,3.6068,1
URY,0,3.5765,2
MEX,0,3.4655,1
KAZ,0,3.4523,2
ARM,0,3.4193,2
CYP,0,3.3755,2
BIH,0,3.3723,2
THA,1,3.3146,2
LKA,0,3.3111,2
MNG,0,3.2657,2
BGR,0,3.2433,2
TUN,0,3.2178,1
UZB,0,3.2073,2
RUS,0,3.1368,2
GEO,0,3.1337,2
AZE,0,3.103,2
ROU,0,3.0394,2
EGY,0,3.0011,2
BLR,0,2.9359,2
MUS,0,2.8969,1
MDA,0,2.8776,2
MLT,0,2.8739,2
MKD,0,2.8663,2
ARE,0,2.7217,1
