"Term","Raw LSDV","LSDVC (Kiviet 1995/Bruno 2005)"
"Lagged ln(labor productivity)","0.8155 (boot. SE 0.0287)","1.0779 (boot. SE 0.0461)"
"ln(GTI+1)","-0.0219 (boot. SE 0.0065)","-0.0209 (boot. SE 0.0052)"
"Capital formation / VA","-0.2856 (boot. SE 0.1081)","-0.2744 (boot. SE 0.0911)"
"GDP per capita (ln)","0.2316 (boot. SE 0.0694)","0.0540 (boot. SE 0.0585)"
"Renewable energy (%)","0.0011 (boot. SE 0.0012)","-0.0016 (boot. SE 0.0011)"
"Fixed broadband (per 100)","0.0011 (boot. SE 0.0012)","0.0006 (boot. SE 0.0011)"
"Tertiary enrollment (%)","0.0021 (boot. SE 0.0005)","0.0024 (boot. SE 0.0005)"
"R&D expenditure (% GDP)","-0.0159 (boot. SE 0.0155)","-0.0270 (boot. SE 0.0136)"
"Observations","2015","2015"
"Pairs","168","168"
"Bootstrap replications (bias-adjusted SE)","-","500 / 500 successful"
"Initial consistent estimator (phi seed)","-","Diff.GMM: 0.8188"
"Direction check vs. Diff.GMM (phi)","-","WARNING: moved away from GMM"
"Cross-check: LSDVC phi (Everaert-Pozzi 2007, bootstrap-simulation)","-","0.9294"
