country_dropped,beta1
AUS,0.011154621991266572
AUT,0.014158579526786626
BEL,0.016714857420900377
CAN,0.012720446702599014
CHE,0.011399256992982082
CZE,0.007922078232989358
DEU,0.00964914910869888
DNK,0.01451657937060571
ESP,0.01604270306981523
FIN,0.009571599487362312
FRA,0.009008192204480075
GBR,0.008600451829852909
GRC,0.020359080214517152
HUN,0.0033832050725673456
IRL,0.014437906808017499
ITA,0.012677997049272005
JPN,0.011585844902782907
KOR,0.013278857720451601
NLD,0.007204588560682933
NOR,0.013748638138029526
POL,0.0077275213488770655
PRT,0.01162170860209144
SVK,3.230693769724242e-4
SWE,0.013747119430922074
USA,0.01368558018128018
