country,ASEAN,mean_pair_FE,n_pairs
MLT,0,2.0674,2
MKD,0,1.8306,2
ARE,0,1.8049,1
BIH,0,1.6809,2
MDA,0,1.5629,2
URY,0,1.4532,2
ROU,0,1.3821,2
BLR,0,1.3637,2
BGR,0,1.3599,2
CYP,0,1.3432,2
GEO,0,1.2163,2
MNG,0,1.1841,2
TUN,0,1.1182,1
CHL,0,1.0844,1
ARM,0,0.9518,2
UKR,0,0.9123,2
LKA,0,0.9039,2
TUR,0,0.8768,2
BRA,0,0.8535,1
THA,1,0.8483,2
RUS,0,0.7935,2
MYS,1,0.7838,2
UZB,0,0.7743,2
SAU,0,0.6635,2
MEX,0,0.6484,1
ECU,0,0.6161,2
EGY,0,0.489,2
KEN,0,0.4712,1
IRN,0,0.4323,1
PHL,1,0.3696,2
KAZ,0,0.2955,2
IND,0,0.2682,1
COL,0,-0.0852,1
PER,0,-0.2587,2
IDN,1,-0.383,1
