"Term","Raw LSDV","LSDVC (Kiviet 1995/Bruno 2005)"
"Lagged ln(labor income share)","0.6658 (boot. SE 0.0268)","0.8424 (boot. SE 0.0731)"
"AI Patent Intensity","-0.0090 (boot. SE 0.0061)","-0.0082 (boot. SE 0.0055)"
"GDP per capita (ln)","-0.0834 (boot. SE 0.0463)","-0.0527 (boot. SE 0.0379)"
"Renewable energy (%)","0.0005 (boot. SE 0.0011)","-0.0004 (boot. SE 0.0010)"
"Capital formation / VA","0.5489 (boot. SE 0.0960)","0.5101 (boot. SE 0.0929)"
"R&D expenditure (% GDP)","0.0122 (boot. SE 0.0108)","0.0062 (boot. SE 0.0096)"
"Trade openness (%)","-0.0011 (boot. SE 0.0004)","-0.0009 (boot. SE 0.0003)"
"Fixed broadband (per 100)","0.0007 (boot. SE 0.0011)","0.0001 (boot. SE 0.0010)"
"Observations","2880","2880"
"Pairs","240","240"
"Bootstrap replications (bias-adjusted SE)","-","500 / 500 successful"
"Initial consistent estimator (phi seed)","-","Diff.GMM: 0.6509"
"Direction check vs. Diff.GMM (phi)","-","WARNING: moved away from GMM"
"Cross-check: LSDVC phi (Everaert-Pozzi 2007, bootstrap-simulation)","-","0.7591"
